,page_id,page_name,post_id,created_timestamp,post_url,source_relation,platform,post_message,clicks,comments,impressions,likes,shares
0,11841037,Kertys,6914168533450924032,2022-03-28 11:17:17.533000+00:00,https://www.linkedin.com/embed/feed/update/urn:li:share:6914168533450924032,,linkedin,"#Piql une plateforme unique de sauvegarde, d’archivage et de restauration de données en mode offline.
Grâce à sa technologie PiqlFilm alliant un matériau ultrarésistant et un stockage ultra-optimisé via Qr-code, Le mode Off-line vous permet une protection efficace contre les intrusions, les cyberattaques, les ransomwares et toutes les autres catastrophes naturelles.

Votre système informatique est entièrement sauvegardé en mode Offline et restauré à tout moment en mode Online : Environnement, système, logiciel, code source, document, image, video etc.

#Piql #cyberattaque #morocconow #moroccotech #ransomware #cybersécurité",4,0,148,1,4
1,11841037,Kertys,6930083138308046848,2022-05-11 09:16:14.987000+00:00,https://www.linkedin.com/embed/feed/update/urn:li:share:6930083138308046848,,linkedin,,4,0,256,3,0
2,11841037,Kertys,6899666204143833088,2022-02-16 10:50:12.840000+00:00,https://www.linkedin.com/embed/feed/update/urn:li:share:6899666204143833088,,linkedin,"#Quoteday

When customers interact with you, they expect a seamless experience. In this age of technology, the best way to deliver on that expectation is to focus your efforts on leveraging automating and digitizing your process effectively as a strategical tools for future growth.

☞ All of our team members are professional and ready to show you their digital transformation skills and solutions. You can get in touch with us right now to get started!⁣⁣

Let’s talk: sales@kertys.com",1,0,107,1,3
3,11841037,Kertys,6901807868253986816,2022-02-22 08:40:25.348000+00:00,https://www.linkedin.com/embed/feed/update/urn:li:ugcPost:6901807868253986816,,linkedin,"Qu'est-ce que le RPA (Robotic Process Automation) ?
Les tâches les plus coûteuses et les plus complexes en entreprise sont les processus répétitifs, prévisibles ou les deux. Ces tâches peuvent être effectuées avec une plus grande précision, à moindre coût et avec moins de risques lorsqu'elles sont automatisées.⁣
RPA (Robotic Process Automation) est une catégorie d'outils logiciels qui permet d'automatiser ces types de tâches. 

 La RPA peut réduire les effectifs et les dépenses d'exploitation tout en améliorant l'expérience client.
Demandez votre démonstration de RPA automation anywhere ici : 
https://bit.ly/3a7ndu4
#rpasolutions #rpamaroc #rpaafrica #roboticprocessautomation #digitalnow #morocconow",1,0,120,0,2
4,11841037,Kertys,6898909521188900864,2022-02-14 08:43:25.503000+00:00,https://www.linkedin.com/embed/feed/update/urn:li:share:6898909521188900864,,linkedin,"Notre partenaire Piql AS signe un nouvel accord pour stocker les données de plus d'un million de semences dans la chambre forte mondiale de Svalbard.

Avec la solution Piql, l'archivage à long terme de l'information numérique vise essentiellement à préserver l'essence du patrimoine d'entreprise et protéger l'héritage intellectuelle de l'information de la nation.

#Piqlafrique #patrimoineculturel #patrimoineentreprise #morocconow #moroccotech #digitalnow 
https://lnkd.in/dFCuTfTZ",5,1,205,4,1
5,11841037,Kertys,6928346523256643584,2022-05-06 14:15:33.740000+00:00,https://www.linkedin.com/embed/feed/update/urn:li:share:6928346523256643584,,linkedin,,8,0,189,0,0
6,11841037,Kertys,6924360649200283648,2022-04-25 14:17:07.349000+00:00,https://www.linkedin.com/embed/feed/update/urn:li:share:6924360649200283648,,linkedin,"Depuis plus de douze ans, Kertys accompagne des PME et grands Groupes au Maroc et en Afrique pour améliorer leur performance et productivité au travers de l'implémentation de solutions digitales innovantes.

Venez rencontrer l’équipe Kertys MAROC sur leur stand 5 & 6 les 18 et 19 Mai à l’Hôtel Grand Mogador Casablanca.

Téléchargez votre badge sur :
https://lnkd.in/dSVbNniB 

Plus d'informations sur : www.emecexpo.ma

#MFILES #LUCANET #TALENTSOFT #EFLOW #IGNIMISSION #PIQL #STREAMSETS #HUBSHARE #automationanywhere #salon #événementiel #event #business #trends #innovation #maroc #morocco #casablanca #emecexpo #emecexpo2022 #transformation #transformationdigitale #digitaltransformation #emarketing #ecommerce #cloud #socialmedia #réseauxsociaux #affichagenumérique #mobile #expo #exposition",7,0,156,4,4
7,11841037,Kertys,6926704938882338816,2022-05-02 01:32:29.536000+00:00,https://www.linkedin.com/embed/feed/update/urn:li:ugcPost:6926704938882338816,,linkedin,"Toute la famille KERTYS MAROC vous souhaite Eid Al Fitr Moubarak Said, tous nos voeux de bonheur, de santé et de prospérité.
عيدكم مبارك سعيد",4,0,167,4,0
8,11841037,Kertys,6922135792467222528,2022-04-19 10:56:20.235000+00:00,https://www.linkedin.com/embed/feed/update/urn:li:share:6922135792467222528,,linkedin,"#Piql est une plateforme unique pour la sauvegarde, l'archivage et la restauration des données en mode hors ligne.
▶ Grâce à sa technologie PiqlFilm alliant un matériau ultra résistant et un stockage ultra optimisé via Qr-code, le mode hors ligne vous permet une protection efficace contre les intrusions, les #cyber-attaques, les rançons et toutes autres catastrophes naturelles.
Votre système informatique est entièrement sauvegardé en mode hors ligne et restauré à tout moment en mode Online : environnement, système, logiciel, code source, document, image, vidéo etc.
Demandez votre démo ici : www.kertys.com/demo
En savoir plus : https://lnkd.in/dfjruUuC
#Piql #cyberattack #morocconow #moroccotech #ransomware #cybersecurity",2,0,162,4,6
9,11841037,Kertys,6944592419690582016,2022-06-20 10:10:57.305000+00:00,https://www.linkedin.com/embed/feed/update/urn:li:share:6944592419690582016,,linkedin,"J-8 🚀pour notre webinaire LucaNet France / Kertys,
Thème : Le pilotage de la performance financière avec Lucanet
Vous découvrirez comment 
#LucaNet automatise les processus financiers d'une entreprise et des étapes internes nécessaires à la réalisation des opérations financières.
‍
Inscription : https://lnkd.in/dzra6uSg 👈
#LucanetAfrique #LucanetMaroc #pilotagefinancier #DAF #CFO
 #FPM #reporting #planification #finance #IFRS #consolidation",3,0,211,2,3
